;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Czerwiec 2021;;Maj 2021;;Czerwiec 2020;;Czerwiec 2021 / Maj 2021;;Czerwiec 2021 / Czerwiec 2020
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;;;< 5;3055.25;;; ;;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;< 5;21544.31;< 5;9664.69;< 5;12242.04; ;1.229178; ;0.759863
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;8;69274.88;11;118276.252;12;198078.1028;-0.272727;-0.414296;-0.333333;-0.650265
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL II STOPNIA;K Choroby układu dokrewnego;80;311797.302;50;184102.2888;56;198082.69;0.6;0.693609;0.428571;0.574076
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;26;113445.11;25;114401.69;32;142667.92;0.04;-0.008362;-0.1875;-0.204831
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL II STOPNIA;M Choroby żeńskiego układu rozrodczego;< 5;894.86;< 5;1789.72;< 5;903.72; ;-0.5; ;-0.009804
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;37;119295.1476;14;45901.0908;11;32723.64;1.642857;1.598961;2.363636;2.645534
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;D Choroby układu oddechowego;5;35992.0368;5;28562.598;< 5;15711;0;0.260111; ;1.290881
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;E Choroby układu krążenia;;;;;< 5;8600.8;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;5;48087;5;58615;< 5;46892;0;-0.179613; ;0.025484
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;< 5;590;;; ;;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;< 5;1476;;;< 5;9352; ;; ;-0.842173
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;17212;< 5;29734;7;97319.9; ;-0.421134; ;-0.82314
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;K Choroby układu dokrewnego;86;392445;97;462135;56;209219;-0.113402;-0.1508;0.535714;0.875762
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;19;83766;20;164476.1024;22;139738.77;-0.05;-0.49071;-0.136364;-0.400553
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;M Choroby żeńskiego układu rozrodczego;< 5;886;< 5;886;< 5;7084; ;0; ;-0.874929
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;23;74081.5632;30;95604.2568;;;-0.233333;-0.225123;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;20500;;;;; ;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;< 5;26747.1;< 5;1771;;; ;14.102823; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;B Choroby narządu wzroku;;;< 5;2896;;; ;;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;< 5;36943.5272;< 5;5769.0792;< 5;5267; ;5.403713; ;6.01415
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;< 5;13811.6;< 5;11150.7;;; ;0.238631; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;21;221668.42;14;147685;19;222873.42;0.5;0.500954;0.105263;-0.005407
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;< 5;1667;;;< 5;28666; ;; ;-0.941847
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;8;54546;8;82442;5;50396;0;-0.338371;0.6;0.082348
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;K Choroby układu dokrewnego;408;1475660.82288;357;1394606.03608;327;1104321.77;0.142857;0.05812;0.247706;0.33626
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;19;85828;17;73748;24;95789;0.117647;0.163801;-0.208333;-0.103989
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;M Choroby żeńskiego układu rozrodczego;5;4430;9;9744;8;9743;-0.444444;-0.545361;-0.375;-0.545315
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;212;868364.9064;204;731621.0304;87;283723;0.039216;0.186905;1.436782;2.060608
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;;;;;< 5;6934;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL PULMONOLOGICZNY;K Choroby układu dokrewnego;15;64167;7;26990;13;59398;1.142857;1.377436;0.153846;0.080289
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Łódzkie;SZPITAL PULMONOLOGICZNY;L Choroby układu moczowo-płciowego;< 5;4657;< 5;17510;6;27959; ;-0.734038; ;-0.833435
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;POZA PSZ;F Choroby przewodu pokarmowego;< 5;650;< 5;650;;; ;0; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;;;;;< 5;6837;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;POZA PSZ;K Choroby układu dokrewnego;23;105596;33;136879;29;116944;-0.30303;-0.228545;-0.206897;-0.097038
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;POZA PSZ;L Choroby układu moczowo-płciowego;13;61907;5;21733;8;32132;1.6;1.848525;0.625;0.926646
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;POZA PSZ;M Choroby żeńskiego układu rozrodczego;< 5;2658;< 5;886;;; ;2; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;< 5;8674.08;7;124603.3938;5;19464.94; ;-0.930386; ;-0.554374
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;;;;;< 5;1230.85;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;< 5;21882.06;< 5;22882.68;5;31393.37; ;-0.043728; ;-0.302972
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;14;124994.88;10;118226.16;7;48233.664;0.4;0.057252;1;1.591445
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL I STOPNIA;K Choroby układu dokrewnego;92;407924.1792;65;270826.86;131;599639.3951;0.415385;0.506218;-0.29771;-0.319718
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL I STOPNIA;L Choroby układu moczowo-płciowego;15;200481.7956;14;70135.2;20;114256.8906;0.071429;1.858505;-0.25;0.754658
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL I STOPNIA;M Choroby żeńskiego układu rozrodczego;< 5;903.72;6;6541.8312;< 5;1825.16; ;-0.861855; ;-0.504854
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;60;164737.638;51;147957.6456;21;56709.74;0.176471;0.113411;1.857143;1.904927
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;< 5;1771;< 5;2329;< 5;903.72; ;-0.239588; ;0.959678
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;E Choroby układu krążenia;< 5;2443.19;;;;; ;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;10;101581.76;10;87290.6;< 5;37295.28;0;0.163719; ;1.723716
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;2503.79;;;;; ;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;6;22886.09;< 5;16315.03;11;62034.4; ;0.402761;-0.454545;-0.631074
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;6;62525.868;5;39514.836;8;64289.68;0.2;0.582339;-0.25;-0.027435
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;K Choroby układu dokrewnego;208;895802.7143;148;573650.6473;264;1052302.8634;0.405405;0.561582;-0.212121;-0.148722
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;54;290766.0848;44;201662.94;73;343164.86;0.227273;0.441842;-0.260274;-0.152693
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;M Choroby żeńskiego układu rozrodczego;< 5;2683.57;< 5;894.86;< 5;2710.14; ;1.998871; ;-0.009804
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;58;161153.0788;60;162821.9016;32;83591.04;-0.033333;-0.010249;0.8125;0.927875
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;1299;< 5;1771;;; ;-0.266516; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;4724;;;;; ;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;E Choroby układu krążenia;5;13304.5;< 5;5321.8;< 5;26364.8; ;1.5; ;-0.495369
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;5626;< 5;27418;< 5;11862; ;-0.794806; ;-0.525712
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;K Choroby układu dokrewnego;173;721532.32;113;445410.88;177;757764;0.530973;0.619925;-0.022599;-0.047814
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;< 5;13971;< 5;4657;8;35518; ;2; ;-0.60665
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;M Choroby żeńskiego układu rozrodczego;< 5;886;;;;; ;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;12;36370.08;10;32475.6;23;68551;0.2;0.11992;-0.478261;-0.469445
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL III STOPNIA;Q Choroby naczyń;;;< 5;5882.8;;; ;;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;;;;;< 5;886;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;45;380375.8108;47;387133.6464;58;409031;-0.042553;-0.017456;-0.224138;-0.070056
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;< 5;11150.7;< 5;2660.9;;; ;3.190575; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;33;353449;23;237007;34;295092;0.434783;0.491302;-0.029412;0.197759
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;11692;;;< 5;21467.95; ;; ;-0.455374
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;< 5;7399;< 5;35934.14;< 5;7027; ;-0.794096; ;0.052939
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;3531;< 5;8155;< 5;19360; ;-0.567014; ;-0.817614
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;K Choroby układu dokrewnego;255;797690.8944;201;609570.72;219;612534.425;0.268657;0.308611;0.164384;0.302279
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;6;25832;< 5;4657;< 5;10616; ;4.546919; ;1.433308
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;M Choroby żeńskiego układu rozrodczego;< 5;3543;< 5;886;;; ;2.998871; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;130;475044.1236;126;470823.3432;62;211558;0.031746;0.008965;1.096774;1.245456
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;< 5;10702.8;< 5;6462.18;< 5;5815; ;0.656221; ;0.84055
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;;;;;< 5;18661;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL PEDIATRYCZNY;D Choroby układu oddechowego;12;119290.32;18;200697.48;28;296231.84;-0.333333;-0.405621;-0.571429;-0.597308
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL PEDIATRYCZNY;K Choroby układu dokrewnego;27;113087.88;16;55950.48;5;17289;0.6875;1.021214;4.4;5.541031
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;28;90106.16;37;111771.36;22;65730;-0.243243;-0.193835;0.272727;0.370853
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;;;< 5;2835;;; ;;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Małopolskie;SZPITAL PULMONOLOGICZNY;K Choroby układu dokrewnego;11;85199;13;93115;9;68553;-0.153846;-0.085013;0.222222;0.242819
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;POZA PSZ;B Choroby narządu wzroku;< 5;5666.75;;;;; ;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;POZA PSZ;F Choroby przewodu pokarmowego;;;< 5;993.6;;; ;;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;POZA PSZ;K Choroby układu dokrewnego;8;37498.12;13;56100.16;12;40538.58;-0.384615;-0.331586;-0.333333;-0.075002
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;POZA PSZ;L Choroby układu moczowo-płciowego;< 5;16518;< 5;12916;< 5;13770; ;0.278879; ;0.199564
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;POZA PSZ;M Choroby żeńskiego układu rozrodczego;< 5;2658;< 5;886;;; ;2; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;A Choroby układu nerwowego;5;12794.88;< 5;6407.92;< 5;8697.32; ;0.996729; ;0.471129
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;7;70888.98;10;107243.82;< 5;615.94;-0.3;-0.338992; ;114.090723
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;;;< 5;2553.37;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;13;68640.42;8;48698.88;10;52253.96;0.625;0.409487;0.3;0.313593
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;14;254583.1118;14;109082.136;14;95673.198;0;1.333866;0;1.660966
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;K Choroby układu dokrewnego;262;841954.8904;226;805032.8222;303;1132607.208;0.159292;0.045864;-0.135314;-0.256622
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;L Choroby układu moczowo-płciowego;59;255932.66;41;184253.82;54;263275.01;0.439024;0.389022;0.092593;-0.027889
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;M Choroby żeńskiego układu rozrodczego;84;79718.2;98;91486.74;77;72091.76;-0.142857;-0.128637;0.090909;0.105788
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;87;350133.0084;69;250463.8098;55;210485.71;0.26087;0.397939;0.581818;0.663453
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;Q Choroby naczyń;< 5;11986;;;;; ;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;6095.52;< 5;3047.76;< 5;12434.16; ;1; ;-0.509776
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;A Choroby układu nerwowego;;;;;< 5;14003.58;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;17;190643.56;9;106663.07;;;0.888889;0.787344;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;;;< 5;2206.85;6;36040.68; ;;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;34517.76;< 5;10031.118;7;70862.256; ;2.441068; ;-0.512889
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;K Choroby układu dokrewnego;84;261990.1591;60;250821.9868;85;303430.2834;0.4;0.044526;-0.011765;-0.136572
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;< 5;17748.73;6;25378.27;10;53628.54; ;-0.300633; ;-0.669043
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;M Choroby żeńskiego układu rozrodczego;;;;;< 5;3613.86;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;22;61475.76;11;28044.36;< 5;8329.32;1;1.19209; ;6.380646
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;Q Choroby naczyń;;;;;< 5;2216.46;;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;11;111113.13;;;;;;;;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;6381;;;;; ;; ;
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;4252;< 5;2835;< 5;61568.46; ;0.499824; ;-0.930939
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;13;133556;18;174018.56;10;69120;-0.277778;-0.232519;0.3;0.932234
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;< 5;23658.99;< 5;6125;< 5;22687; ;2.862692; ;0.042843
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;9;56331.4;6;44778;5;58323.6;0.5;0.258015;0.8;-0.034158
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL III STOPNIA;K Choroby układu dokrewnego;342;929362.88;319;862626.4;211;535443.54;0.0721;0.077364;0.620853;0.735688
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;20;153206.1;18;82268;15;64844;0.111111;0.862281;0.333333;1.362687
;E00-E90 Zaburzenia wydzielania wewnętrznego, stanu odżywienia i przemian metabolicznych;Mazowieckie;SZPITAL III STOPNIA;M Choroby żeńskiego układu rozrodczego;< 5;1772;9;7974;< 5;886; ;-0.777778; ;1
